Dataset,Method,Active,Passive,Fold1_AUROC,Fold2_AUROC,Fold3_AUROC,Fold4_AUROC,Fold5_AUROC,Mean_AUROC,SD_AUROC,Fold1_PRAUC,Fold2_PRAUC,Fold3_PRAUC,Fold4_PRAUC,Fold5_PRAUC,Mean_PRAUC,SD_PRAUC
Glioma,Centralized,NA,NA,0.8649,0.9371,0.9259,0.9110,0.9169,0.9112,0.0277,0.7287,0.9082,0.8964,0.8773,0.8794,0.8580,0.0734
Glioma,SplitNN,NA,NA,0.9306,0.8998,0.8979,0.8825,0.8579,0.8937,0.0266,0.9010,0.8713,0.8553,0.7893,0.8331,0.8500,0.0420
Glioma,SSL+SSL,SSL,SSL,0.8424,0.8989,0.8968,0.8825,0.9004,0.8842,0.0245,0.7018,0.8253,0.8312,0.8352,0.8645,0.8116,0.0632
Glioma,SSL+HFL_K10,SSL,HFL K10,0.8356,0.8880,0.9017,0.8611,0.9047,0.8782,0.0294,0.7105,0.7954,0.8603,0.7816,0.8521,0.8000,0.0607
Glioma,SSL+HFL_K20,SSL,HFL K20,0.8564,0.8891,0.8984,0.8595,0.9056,0.8818,0.0226,0.7248,0.8006,0.8492,0.7811,0.8525,0.8016,0.0529
Glioma,SUP+SSL,SUP,SSL,0.8631,0.9254,0.9307,0.9256,0.9262,0.9142,0.0286,0.7210,0.8733,0.8991,0.8894,0.8969,0.8560,0.0761
Glioma,SUP+HFL_K10,SUP,HFL K10,0.8780,0.9209,0.9290,0.9161,0.9290,0.9146,0.0212,0.7656,0.8691,0.8939,0.8832,0.8982,0.8620,0.0550
Glioma,SUP+HFL_K20,SUP,HFL K20,0.8777,0.9207,0.9293,0.9162,0.9296,0.9147,0.0215,0.7650,0.8684,0.8943,0.8836,0.8995,0.8622,0.0557
Diabetes,Centralized,NA,NA,0.9703,0.9748,0.9695,0.9712,0.9724,0.9716,0.0021,0.8496,0.8681,0.8340,0.8488,0.8564,0.8514,0.0124
Diabetes,SplitNN,NA,NA,0.9661,0.9709,0.9729,0.9660,0.9668,0.9685,0.0032,0.8348,0.8422,0.8554,0.8222,0.8342,0.8378,0.0122
Diabetes,SSL+SSL,SSL,SSL,0.9505,0.9505,0.9532,0.9524,0.9468,0.9507,0.0025,0.7684,0.7547,0.7835,0.7779,0.7457,0.7660,0.0158
Diabetes,SSL+HFL_K10,SSL,HFL K10,0.9465,0.9558,0.9506,0.9423,0.9508,0.9492,0.0051,0.7465,0.7839,0.7453,0.7147,0.7645,0.7510,0.0257
Diabetes,SSL+HFL_K20,SSL,HFL K20,0.9438,0.9441,0.9503,0.9416,0.9422,0.9444,0.0035,0.7196,0.7242,0.7563,0.7125,0.7157,0.7257,0.0177
Diabetes,SUP+SSL,SUP,SSL,0.9690,0.9714,0.9688,0.9676,0.9659,0.9685,0.0020,0.8381,0.8459,0.8495,0.8408,0.8276,0.8404,0.0084
Diabetes,SUP+HFL_K10,SUP,HFL K10,0.9689,0.9712,0.9683,0.9679,0.9661,0.9685,0.0018,0.8360,0.8453,0.8465,0.8371,0.8282,0.8386,0.0075
Diabetes,SUP+HFL_K20,SUP,HFL K20,0.9685,0.9709,0.9684,0.9680,0.9660,0.9684,0.0017,0.8334,0.8431,0.8470,0.8376,0.8280,0.8378,0.0076
MIDAS,Centralized,NA,NA,0.7657,0.7867,0.6816,0.8215,0.7095,0.7530,0.0570,0.7601,0.7309,0.6217,0.8108,0.7252,0.7297,0.0693
MIDAS,SplitNN,NA,NA,0.7631,0.7825,0.7033,0.8259,0.7121,0.7574,0.0508,0.7137,0.6980,0.6193,0.8040,0.7091,0.7088,0.0656
MIDAS,SSL+SSL,SSL,SSL,0.7426,0.7767,0.7169,0.8054,0.7534,0.7590,0.0337,0.7226,0.7035,0.6598,0.8144,0.7698,0.7340,0.0598
MIDAS,SUP+SSL,SUP,SSL,0.7394,0.7786,0.7160,0.8134,0.7513,0.7597,0.0375,0.6690,0.7086,0.6567,0.7979,0.7616,0.7188,0.0603
